Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
213,65,Electric Utility,8.5,5.2,5.2,Conventional Hydroelectric,12,1984, , ,OP,58.326900,-134.463100
219,66,Electric Utility,0.4,0.4,0.4,Conventional Hydroelectric,7,1957, , ,OP,59.454500,-135.313100
219,66,Electric Utility,0.1,0.1,0.1,Conventional Hydroelectric,7,1909, , ,OP,59.454500,-135.313100
219,66,Electric Utility,0.3,0.3,0.3,Conventional Hydroelectric,7,1981, , ,OP,59.454500,-135.313100
219,66,Electric Utility,0.2,0.2,0.2,Conventional Hydroelectric,7,1987, , ,OP,59.454500,-135.313100
219,66,Electric Utility,0.8,0.8,0.8,Petroleum Liquids,4,1986, , ,OP,59.454500,-135.313100
219,66,Electric Utility,1.1,1.1,1.1,Petroleum Liquids,5,1996, , ,OP,59.454500,-135.313100
219,66,Electric Utility,0.5,0.5,0.5,Petroleum Liquids,9,1991, , ,OP,59.454500,-135.313100
219,66,Electric Utility,1.0,1.0,1.0,Petroleum Liquids,4,2009, , ,OP,59.454500,-135.313100
219,69,Electric Utility,1.2,1.2,1.2,Petroleum Liquids,5,1991, , ,OP,59.235931,-135.446200
219,69,Electric Utility,1.9,1.9,1.9,Petroleum Liquids,1,2006, , ,OP,59.235931,-135.446200
219,69,Electric Utility,0.6,0.6,0.6,Petroleum Liquids,6,1968, , ,OP,59.235931,-135.446200
219,69,Electric Utility,2.8,2.8,2.8,Petroleum Liquids,12,1995, , ,OP,59.235931,-135.446200
219,69,Electric Utility,1.6,1.6,1.6,Petroleum Liquids,10,1996, , ,OP,59.235931,-135.446200
60123,70,Commercial Non-CHP,11.3,11.3,11.3,Conventional Hydroelectric,6,1984, , ,OP,55.615208,-131.356100
60123,70,Commercial Non-CHP,11.3,11.3,11.3,Conventional Hydroelectric,6,1984, , ,OP,55.615208,-131.356100
10433,71,Electric Utility,11.2,11.2,11.2,Conventional Hydroelectric,12,1984, , ,OP,57.686100,-152.895000
10433,71,Electric Utility,11.2,11.2,11.2,Conventional Hydroelectric,12,1984, , ,OP,57.686100,-152.895000
10433,71,Electric Utility,11.2,11.2,11.2,Conventional Hydroelectric,2,2014, , ,OP,57.686100,-152.895000
12397,72,Electric Utility,10.1,10.1,10.1,Conventional Hydroelectric,8,1982, , ,SB,34.011350,-118.416800
599,75,Electric Utility,48.9,29.3,32.9,Natural Gas Fired Combustion Turbine,8,2007, , ,OP,61.222100,-149.866100
599,75,Electric Utility,27.0,31.1,33.2,Natural Gas Fired Combustion Turbine,3,1972, , ,OP,61.222100,-149.866100
599,75,Electric Utility,2.0,2.0,2.0,Petroleum Liquids,2,2012, , ,OP,61.222100,-149.866100
599,77,Electric Utility,22.2,22.2,22.2,Conventional Hydroelectric,1,1955, , ,OP,61.475211,-149.150100
599,77,Electric Utility,22.2,22.2,22.2,Conventional Hydroelectric,4,1955, , ,OP,61.475211,-149.150100
213,78,Electric Utility,23.6,23.5,23.5,Conventional Hydroelectric,11,1973, , ,OP,58.141500,-133.737000
213,78,Electric Utility,23.6,23.5,23.5,Conventional Hydroelectric,11,1973, , ,OP,58.141500,-133.737000
213,78,Electric Utility,31.0,31.0,31.0,Conventional Hydroelectric,12,1990, , ,OP,58.141500,-133.737000
986,79,IPP CHP,5.0,4.7,4.3,Conventional Steam Coal,6,1952, , ,OP,64.847743,-147.735100
986,79,IPP CHP,2.5,2.0,2.0,Conventional Steam Coal,6,1952, , ,OP,64.847743,-147.735100
986,79,IPP CHP,20.0,19.0,18.8,Conventional Steam Coal,6,1975, , ,OP,64.847743,-147.735100
10210,84,Electric Utility,1.4,1.4,1.1,Conventional Hydroelectric,1,1952, , ,OP,55.344641,-131.633400
10210,84,Electric Utility,1.4,1.4,1.1,Conventional Hydroelectric,1,1938, , ,OP,55.344641,-131.633400
10210,84,Electric Utility,1.4,1.4,1.1,Conventional Hydroelectric,1,1954, , ,OP,55.344641,-131.633400
10210,85,Electric Utility,4.5,3.5,3.5,Petroleum Liquids,1,1969, , ,OP,55.357397,-131.697000
10210,85,Electric Utility,4.5,3.5,3.5,Petroleum Liquids,1,1970, , ,OP,55.357397,-131.697000
10210,85,Electric Utility,6.4,5.5,5.5,Petroleum Liquids,1,1976, , ,OP,55.357397,-131.697000
10210,85,Electric Utility,10.5,10.5,10.5,Petroleum Liquids,10,1998, , ,OP,55.357397,-131.697000
15296,88,Electric Utility,2.3,2.3,2.3,Conventional Hydroelectric,11,1982, , ,OP,41.949000,-74.206300
15296,88,Electric Utility,2.3,2.3,2.3,Conventional Hydroelectric,11,1982, , ,OP,41.949000,-74.206300
13642,90,Electric Utility,3.8,3.7,3.7,Petroleum Liquids,4,1991, , ,OP,64.505331,-165.429800
13642,90,Electric Utility,2.0,1.9,1.9,Petroleum Liquids,12,1999, , ,OP,64.505331,-165.429800
