Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
164,52077,Industrial CHP,3.5,2.7,3,Natural Gas Fired Combustion Turbine,10,1985, , ,OP,35.666111,-119.7669
164,52077,Industrial CHP,3.5,2.7,3,Natural Gas Fired Combustion Turbine,10,1985, , ,OP,35.666111,-119.7669
54713,52078,Industrial CHP,3.5,3,3.2,Natural Gas Fired Combustion Turbine,10,1986, , ,OS,35.2761,-119.5986
54713,52078,Industrial CHP,3.5,3,3.2,Natural Gas Fired Combustion Turbine,10,1986, , ,OS,35.2761,-119.5986
54713,52078,Industrial CHP,3.5,3,3.2,Natural Gas Fired Combustion Turbine,10,1986, , ,OS,35.2761,-119.5986
54713,52081,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,10,1988, , ,OP,35.3639,-119.6592
54713,52081,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,10,1988, , ,OP,35.3639,-119.6592
54713,52082,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,7,1986, , ,OP,35.346102,-119.6434
54713,52082,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,7,1986, , ,OP,35.346102,-119.6434
54713,52083,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,9,1989, , ,OS,36.2097,-120.3828
54713,52083,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,9,1989, , ,OS,36.2097,-120.3828
54713,52085,Industrial CHP,3.1,2.7,2.9,Natural Gas Fired Combustion Turbine,7,1982, , ,OP,35.1133,-119.4706
54713,52085,Industrial CHP,3.1,2.7,2.9,Natural Gas Fired Combustion Turbine,7,1982, , ,OP,35.1133,-119.4706
54713,52085,Industrial CHP,3.1,2.7,2.9,Natural Gas Fired Combustion Turbine,7,1982, , ,OP,35.1133,-119.4706
54713,52085,Industrial CHP,3.1,2.7,2.9,Natural Gas Fired Combustion Turbine,7,1982, , ,OP,35.1133,-119.4706
54713,52086,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,10,1986, , ,OP,36.1556,-120.3972
54713,52086,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,10,1986, , ,OP,36.1556,-120.3972
54713,52086,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,12,1987, , ,OP,36.1556,-120.3972
54713,52086,Industrial CHP,3.4,2.7,2.9,Natural Gas Fired Combustion Turbine,12,1987, , ,OP,36.1556,-120.3972
